uid,observed_on,place_guess,description,tags,timestamp,lat,lon,photo_url,name,image_path
197612426,2024/01/26 8:11 AM,"Darrington, United States",,,2024-01-26,48.09826397539257,-121.68791790494431,https://inaturalist-open-data.s3.amazonaws.com/photos/348097208/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197612426-2024-01-26.jpg
197611598,2024/01/26 7:46 AM,"Eatonville, United States",,,2024-01-26,46.88353956808506,-122.16162832682163,https://inaturalist-open-data.s3.amazonaws.com/photos/348095316/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197611598-2024-01-26.jpg
197611257,2024/01/26 6:47 AM,"Hobart, United States",,,2024-01-26,47.39998965153452,-121.87341721710354,https://inaturalist-open-data.s3.amazonaws.com/photos/348094564/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197611257-2024-01-26.jpg
197610040,2024-01-25 13:52:17+08:00,"Oak Harbor, United States",,,2024-01-25,48.331220024080785,-122.52949564683195,https://inaturalist-open-data.s3.amazonaws.com/photos/348092353/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197610040-2024-01-25.jpg
197607643,2024-01-26 16:09:12,"Riverbend, United States",,,2024-01-26,47.21453305978511,-121.4727011136406,https://inaturalist-open-data.s3.amazonaws.com/photos/348087661/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197607643-2024-01-26.jpg
197599095,2024-01-26 13:34:30+07:00,"Burlington, United States",,,2024-01-26,48.5507323590723,-122.30832079839941,https://inaturalist-open-data.s3.amazonaws.com/photos/348071142/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197599095-2024-01-26.jpg
197574359,2023/12/27 9:34 AM,"Tanner, United States",Hunter Camera,,2023-12-27,47.60838483210986,-121.56199897812311,https://inaturalist-open-data.s3.amazonaws.com/photos/348019782/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197574359-2023-12-27.jpg
197570300,2006/05/01 1:53 PM,"Darrington, United States",,,2006-05-01,48.170619917327514,-121.58856898579157,https://static.inaturalist.org/photos/348010249/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197570300-2006-05-01.jpg
197569042,2024/01/24 8:51 AM,"Port Ludlow, United States",perros ferales ,,2024-01-24,47.84352415241893,-122.81751301736021,https://inaturalist-open-data.s3.amazonaws.com/photos/348007333/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197569042-2024-01-24.jpg
197558952,2024-01-25 15:52:40-05:00,"Cle Elum, United States","Private house near the main road, with a boy and two dogs.",,2024-01-25,46.90224093284727,-121.13133972239986,https://inaturalist-open-data.s3.amazonaws.com/photos/347988590/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197558952-2024-01-25.jpg
197550682,2024-01-25 10:34:03,"Bonney Lake, United States","Canis familiaris Linnaeus, 1758 
","Н_hinrichmatthes, П, T01228, T01229, T01234, T02475, T02476, T02477, T01396, T01675, T01676, T00273, опдв, спор, Н111Н, КТ, РСМ, ВТ, T01356, R0016R, G0053G, G0016G, G0017G, KV0207, G0015G, KV0123, KV0156, Н_arielflorentino",2024-01-25,47.20512946647578,-122.14524944884579,https://inaturalist-open-data.s3.amazonaws.com/photos/347971987/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197550682-2024-01-25.jpg
197544859,2024/01/24 15:22,"Stanwood, United States",,,2024-01-24,48.30467935376461,-122.3325950632317,https://inaturalist-open-data.s3.amazonaws.com/photos/347957129/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197544859-2024-01-24.jpg
197535885,2024/01/23 14:08,"Darrington, United States",,,2024-01-23,48.13080929638497,-121.55765541559916,https://inaturalist-open-data.s3.amazonaws.com/photos/347941906/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197535885-2024-01-23.jpg
197535883,2024/01/23 13:51,"Shelton, United States",,,2024-01-23,47.12817744367589,-123.04802095325813,https://inaturalist-open-data.s3.amazonaws.com/photos/347941231/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197535883-2024-01-23.jpg
197533784,2023/12/30 2:03 PM,"Olympia, United States",,,2023-12-30,47.16624810759133,-122.9144739141542,https://inaturalist-open-data.s3.amazonaws.com/photos/347937327/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197533784-2023-12-30.jpg
197532212,2024/01/24 15:00,"Darrington, United States",,"photography, dog, nature, Observations",2024-01-24,48.35181861439824,-121.41346028954952,https://inaturalist-open-data.s3.amazonaws.com/photos/347934106/original.jpg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197532212-2024-01-24.jpg
197529664,2023/08/21 1:25 PM,"Darrington, United States",stray,,2023-08-21,48.5409032278114,-121.26118307793672,https://inaturalist-open-data.s3.amazonaws.com/photos/347928134/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197529664-2023-08-21.jpg
197529660,2023/08/21 11:23 AM,"Sequim, United States",stray,,2023-08-21,47.86908315577995,-123.01220605751678,https://inaturalist-open-data.s3.amazonaws.com/photos/347927971/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197529660-2023-08-21.jpg
197529653,2023/08/20 3:12 PM,"Sequim, United States",stray,,2023-08-20,48.24897632397764,-122.98315478359784,https://inaturalist-open-data.s3.amazonaws.com/photos/347926946/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197529653-2023-08-20.jpg
197528622,2023/08/20 12:10 PM,"Allyn, United States",stray,,2023-08-20,47.32500312164812,-122.84359828460754,https://inaturalist-open-data.s3.amazonaws.com/photos/347926432/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197528622-2023-08-20.jpg
197528275,2023/08/19 7:33 AM,"Cle Elum, United States",stray,,2023-08-19,46.927159037023706,-121.40252179747044,https://inaturalist-open-data.s3.amazonaws.com/photos/347924899/original.jpeg,Domesticated Dog,/content/drive/MyDrive/SU/dog-compass/dog-data/Domesticated Dog/photos/197528275-2023-08-19.jpg
